3,3.393282,1.04E-33,0.003,0.69,0.0879,0.412,0.000371884
6,3.405621,5.04E-33,0.0037,0.67,0.095,0.391,1.15853E-07
3,3.412985,2.43E-32,0,0.37,0.0368,0.221,0.000371884
7,3.43826,9.55E-33,0,0.62,0.0767,0.249,2.4197E-08
7,3.440809,4.78E-33,0,0.62,0.0767,0.249,2.4197E-08
2,3.44636,1.13E-29,-0.0003,0.69,0.0801,0.412,0.002
7,3.498277,1.70E-31,0,0.6,0.0837,0.505,2.4197E-08
7,3.510286,3.13E-33,0,0.63,0.0942,0.526,2.4197E-08
6,3.52776,1.67E-30,-0.004039,0.63,0.0775,0.371,1.15853E-07
3,3.562719,4.25E-30,0.0056,0.71,0.0983,0.434,0.000371884
6,3.57631,1.69E-33,0.0009,0.61,0.0821,0.352,1.15853E-07
4,3.595534,1.50E-29,0.0037,0.67,0.095,0.391,0.000310693
5,3.59582,4.59E-31,-0.0091,0.51,0.0693,0.298,6.23003E-07
4,3.632381,7.66E-30,0.0103,0.41,0.0352,0.25,0.000310693
1,3.641201,1.42E-34,0.0006,0.71,0.0863,0.434,0.997317
5,3.689615,1.84E-32,0.002,0.63,0.0935,0.371,6.23003E-07
1,3.693225,8.27E-34,-0.010552,0.61,0.0809,0.352,0.997317
1,3.7082,1.54E-35,0.0053,0.69,0.0793,0.412,0.997317
6,3.773935,3.57E-33,0.002,0.63,0.0935,0.371,1.15853E-07
6,3.774274,3.25E-33,0.0103,0.41,0.0352,0.25,1.15853E-07
7,3.792943,2.69E-35,0,0.63,0.0745,0.26,2.4197E-08
1,3.796348,1.19E-35,-0.0055,0.63,0.069,0.371,0.997317
1,3.854359,1.32E-32,0,0.33,0.0155,0.183,0.997317
4,3.872136,1.00E-29,0.002,0.63,0.0935,0.371,0.000310693
5,3.889403,1.96E-32,0.0103,0.41,0.0352,0.25,6.23003E-07
5,3.913305,5.44E-31,-0.0081,0.51,0.073,0.298,6.23003E-07
1,3.91384,1.86E-33,0.0033,0.63,0.0727,0.371,0.997317
2,3.98814,1.17E-30,-0.0055,0.63,0.069,0.371,0.002
4,3.993246,1.76E-32,-0.0008,0.67,0.0935,0.391,0.000310693
1,4.002621,1.42E-26,0.0056,0.71,0.0983,0.434,0.997317
7,4.008881,4.01E-32,0,0.62,0.0767,0.441,2.4197E-08
1,4.021315,3.74E-30,0.0024,0.63,0.0749,0.371,0.997317
4,4.028728,1.71E-26,-0.00216,0.69,0.0952,0.412,0.000310693
1,4.035835,3.96E-35,-0.0046,0.63,0.0671,0.371,0.997317
5,4.042328,1.18E-29,-0.004039,0.63,0.0775,0.371,6.23003E-07
5,4.06104,2.44E-33,-0.0034,0.55,0.071,0.315,6.23003E-07
6,4.144633,6.64E-30,-0.00216,0.69,0.0952,0.412,1.15853E-07
4,4.20941,2.34E-31,0.0048,0.51,0.077,0.298,0.000310693
5,4.243763,3.69E-29,-0.00216,0.69,0.0952,0.412,6.23003E-07
4,4.254036,1.03E-28,-0.0039,0.63,0.0927,0.371,0.000310693
7,4.254865,1.69E-33,0,0.62,0.0914,0.495,2.4197E-08
7,4.257662,4.40E-34,0,0.6,0.0813,0.367,2.4197E-08
4,4.322397,7.11E-32,-0.0012,0.61,0.0893,0.352,0.000310693
1,4.323122,3.63E-35,0.009368,0.55,0.0634,0.315,0.997317
1,4.32967,6.29E-30,-0.0105,0.55,0.0399,0.315,0.997317
1,4.33106,2.10E-30,-0.0105,0.55,0.0399,0.315,0.997317
4,4.368983,3.88E-32,0.0022,0.71,0.0949,0.434,0.000310693
1,4.369783,1.90E-34,-0.0003,0.69,0.0801,0.412,0.997317
4,4.391969,6.67E-30,0.0009,0.61,0.0821,0.352,0.000310693
6,4.410648,1.26E-31,-0.0091,0.51,0.0693,0.298,1.15853E-07
4,4.425252,2.20E-30,0.006319,0.41,0.0478,0.25,0.000310693
4,4.457878,2.23E-30,0.008944,0.41,0.0491,0.25,0.000310693
